REF_AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE
BEL,TIME07,ADMRASTH,F,20-24Y,NUM,143
BEL,TIME07,ADMRASTH,F,25-29Y,NUM,141
BEL,TIME07,ADMRASTH,F,30-34Y,NUM,138
BEL,TIME07,ADMRASTH,F,35-39Y,NUM,170
BEL,TIME07,ADMRASTH,F,40-44Y,NUM,183
BEL,TIME07,ADMRASTH,F,45-49Y,NUM,187
BEL,TIME07,ADMRASTH,F,50-54Y,NUM,214
BEL,TIME07,ADMRASTH,F,55-59Y,NUM,200
BEL,TIME07,ADMRASTH,F,60-64Y,NUM,191
BEL,TIME07,ADMRASTH,F,65-69Y,NUM,217
BEL,TIME07,ADMRASTH,F,70-74Y,NUM,251
BEL,TIME07,ADMRASTH,F,75-79Y,NUM,291
BEL,TIME07,ADMRASTH,F,80-84Y,NUM,251
BEL,TIME07,ADMRASTH,F,85Y_OVER,NUM,145
BEL,TIME08,ADMRASTH,M,15-19Y,NUM,79
BEL,TIME08,ADMRASTH,M,20-24Y,NUM,67
BEL,TIME08,ADMRASTH,M,25-29Y,NUM,69
BEL,TIME08,ADMRASTH,M,30-34Y,NUM,76
BEL,TIME08,ADMRASTH,M,35-39Y,NUM,93
BEL,TIME08,ADMRASTH,M,40-44Y,NUM,97
BEL,TIME08,ADMRASTH,M,45-49Y,NUM,86
BEL,TIME08,ADMRASTH,M,50-54Y,NUM,91
BEL,TIME08,ADMRASTH,M,55-59Y,NUM,72
BEL,TIME08,ADMRASTH,M,60-64Y,NUM,69
BEL,TIME08,ADMRASTH,M,65-69Y,NUM,49
BEL,TIME08,ADMRASTH,M,70-74Y,NUM,73
BEL,TIME08,ADMRASTH,M,75-79Y,NUM,88
BEL,TIME08,ADMRASTH,M,80-84Y,NUM,46
BEL,TIME08,ADMRASTH,M,85Y_OVER,NUM,17
BEL,TIME08,ADMRASTH,F,15-19Y,NUM,132
BEL,TIME08,ADMRASTH,F,20-24Y,NUM,121
BEL,TIME08,ADMRASTH,F,25-29Y,NUM,133
BEL,TIME08,ADMRASTH,F,30-34Y,NUM,111
BEL,TIME08,ADMRASTH,F,35-39Y,NUM,132
BEL,TIME08,ADMRASTH,F,40-44Y,NUM,153
BEL,TIME08,ADMRASTH,F,45-49Y,NUM,149
BEL,TIME08,ADMRASTH,F,50-54Y,NUM,178
BEL,TIME08,ADMRASTH,F,55-59Y,NUM,161
BEL,TIME08,ADMRASTH,F,60-64Y,NUM,144
BEL,TIME08,ADMRASTH,F,65-69Y,NUM,154
BEL,TIME08,ADMRASTH,F,70-74Y,NUM,180
BEL,TIME08,ADMRASTH,F,75-79Y,NUM,212
BEL,TIME08,ADMRASTH,F,80-84Y,NUM,185
BEL,TIME08,ADMRASTH,F,85Y_OVER,NUM,145
BEL,TIME09,ADMRASTH,M,15-19Y,NUM,81
BEL,TIME09,ADMRASTH,M,20-24Y,NUM,76
BEL,TIME09,ADMRASTH,M,25-29Y,NUM,79
BEL,TIME09,ADMRASTH,M,30-34Y,NUM,81
BEL,TIME09,ADMRASTH,M,35-39Y,NUM,100
BEL,TIME09,ADMRASTH,M,40-44Y,NUM,116
BEL,TIME09,ADMRASTH,M,45-49Y,NUM,126
BEL,TIME09,ADMRASTH,M,50-54Y,NUM,81
BEL,TIME09,ADMRASTH,M,55-59Y,NUM,104
BEL,TIME09,ADMRASTH,M,60-64Y,NUM,100
BEL,TIME09,ADMRASTH,M,65-69Y,NUM,68
BEL,TIME09,ADMRASTH,M,70-74Y,NUM,76
BEL,TIME09,ADMRASTH,M,75-79Y,NUM,79
BEL,TIME09,ADMRASTH,M,80-84Y,NUM,57
BEL,TIME09,ADMRASTH,M,85Y_OVER,NUM,26
BEL,TIME09,ADMRASTH,F,15-19Y,NUM,120
BEL,TIME09,ADMRASTH,F,20-24Y,NUM,140
BEL,TIME09,ADMRASTH,F,25-29Y,NUM,112
BEL,TIME09,ADMRASTH,F,30-34Y,NUM,147
BEL,TIME09,ADMRASTH,F,35-39Y,NUM,160
BEL,TIME09,ADMRASTH,F,40-44Y,NUM,161
BEL,TIME09,ADMRASTH,F,45-49Y,NUM,190
BEL,TIME09,ADMRASTH,F,50-54Y,NUM,157
BEL,TIME09,ADMRASTH,F,55-59Y,NUM,175
BEL,TIME09,ADMRASTH,F,60-64Y,NUM,169
BEL,TIME09,ADMRASTH,F,65-69Y,NUM,161
BEL,TIME09,ADMRASTH,F,70-74Y,NUM,166
BEL,TIME09,ADMRASTH,F,75-79Y,NUM,238
BEL,TIME09,ADMRASTH,F,80-84Y,NUM,210
BEL,TIME09,ADMRASTH,F,85Y_OVER,NUM,149
BEL,TIME10,ADMRASTH,M,15-19Y,NUM,57
BEL,TIME10,ADMRASTH,M,20-24Y,NUM,64
BEL,TIME10,ADMRASTH,M,25-29Y,NUM,89
BEL,TIME10,ADMRASTH,M,30-34Y,NUM,91
BEL,TIME10,ADMRASTH,M,35-39Y,NUM,83
BEL,TIME10,ADMRASTH,M,40-44Y,NUM,94
BEL,TIME10,ADMRASTH,M,45-49Y,NUM,98
BEL,TIME10,ADMRASTH,M,50-54Y,NUM,87
BEL,TIME10,ADMRASTH,M,55-59Y,NUM,89
BEL,TIME10,ADMRASTH,M,60-64Y,NUM,78
BEL,TIME10,ADMRASTH,M,65-69Y,NUM,55
BEL,TIME10,ADMRASTH,M,70-74Y,NUM,67
BEL,TIME10,ADMRASTH,M,75-79Y,NUM,59
BEL,TIME10,ADMRASTH,M,80-84Y,NUM,51
BEL,TIME10,ADMRASTH,M,85Y_OVER,NUM,23
BEL,TIME10,ADMRASTH,F,15-19Y,NUM,105
BEL,TIME10,ADMRASTH,F,20-24Y,NUM,109
BEL,TIME10,ADMRASTH,F,25-29Y,NUM,108
BEL,TIME10,ADMRASTH,F,30-34Y,NUM,122
BEL,TIME10,ADMRASTH,F,35-39Y,NUM,136
BEL,TIME10,ADMRASTH,F,40-44Y,NUM,146
BEL,TIME10,ADMRASTH,F,45-49Y,NUM,180
BEL,TIME10,ADMRASTH,F,50-54Y,NUM,164
BEL,TIME10,ADMRASTH,F,55-59Y,NUM,159
BEL,TIME10,ADMRASTH,F,60-64Y,NUM,157
BEL,TIME10,ADMRASTH,F,65-69Y,NUM,103
BEL,TIME10,ADMRASTH,F,70-74Y,NUM,175
BEL,TIME10,ADMRASTH,F,75-79Y,NUM,237
BEL,TIME10,ADMRASTH,F,80-84Y,NUM,182
BEL,TIME10,ADMRASTH,F,85Y_OVER,NUM,137
BEL,TIME11,ADMRASTH,M,15-19Y,NUM,71
BEL,TIME11,ADMRASTH,M,20-24Y,NUM,66
BEL,TIME11,ADMRASTH,M,25-29Y,NUM,76
BEL,TIME11,ADMRASTH,M,30-34Y,NUM,75
BEL,TIME11,ADMRASTH,M,35-39Y,NUM,79
BEL,TIME11,ADMRASTH,M,40-44Y,NUM,87
BEL,TIME11,ADMRASTH,M,45-49Y,NUM,93
BEL,TIME11,ADMRASTH,M,50-54Y,NUM,108
BEL,TIME11,ADMRASTH,M,55-59Y,NUM,72
BEL,TIME11,ADMRASTH,M,60-64Y,NUM,75
BEL,TIME11,ADMRASTH,M,65-69Y,NUM,74
BEL,TIME11,ADMRASTH,M,70-74Y,NUM,74
BEL,TIME11,ADMRASTH,M,75-79Y,NUM,56
BEL,TIME11,ADMRASTH,M,80-84Y,NUM,54
BEL,TIME11,ADMRASTH,M,85Y_OVER,NUM,29
BEL,TIME11,ADMRASTH,F,15-19Y,NUM,90
BEL,TIME11,ADMRASTH,F,20-24Y,NUM,116
BEL,TIME11,ADMRASTH,F,25-29Y,NUM,102
