REF_AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE,AGE
AUS,2011,PRDMPCDD,F,0-9Y,NUM,5,Y0T9
AUS,2011,PRDMPCDD,F,10-19Y,NUM,10,Y10T19
AUS,2011,PRDMPCDD,F,20-29Y,NUM,162,Y20T29
AUS,2011,PRDMPCDD,F,30-39Y,NUM,1112,Y30T39
AUS,2011,PRDMPCDD,F,40-49Y,NUM,5666,Y40T49
AUS,2011,PRDMPCDD,F,50-59Y,NUM,18106,Y50T59
AUS,2011,PRDMPCDD,F,60-69Y,NUM,39531,Y60T69
AUS,2011,PRDMPCDD,F,70-79Y,NUM,38256,Y70T79
AUS,2011,PRDMPCDD,F,80Y_OVER,NUM,19306,Y_GE80
AUS,2012,PRDMPCDD,M,0-9Y,NUM,17,Y0T9
AUS,2012,PRDMPCDD,M,10-19Y,NUM,51,Y10T19
AUS,2012,PRDMPCDD,M,20-29Y,NUM,260,Y20T29
AUS,2012,PRDMPCDD,M,30-39Y,NUM,2280,Y30T39
AUS,2012,PRDMPCDD,M,40-49Y,NUM,11798,Y40T49
AUS,2012,PRDMPCDD,M,50-59Y,NUM,34683,Y50T59
AUS,2012,PRDMPCDD,M,60-69Y,NUM,64682,Y60T69
AUS,2012,PRDMPCDD,M,70-79Y,NUM,51433,Y70T79
AUS,2012,PRDMPCDD,M,80Y_OVER,NUM,19244,Y_GE80
AUS,2012,PRDMPCDD,F,0-9Y,NUM,8,Y0T9
AUS,2012,PRDMPCDD,F,10-19Y,NUM,22,Y10T19
AUS,2012,PRDMPCDD,F,20-29Y,NUM,196,Y20T29
AUS,2012,PRDMPCDD,F,30-39Y,NUM,1394,Y30T39
AUS,2012,PRDMPCDD,F,40-49Y,NUM,7798,Y40T49
AUS,2012,PRDMPCDD,F,50-59Y,NUM,24616,Y50T59
AUS,2012,PRDMPCDD,F,60-69Y,NUM,44359,Y60T69
AUS,2012,PRDMPCDD,F,70-79Y,NUM,40151,Y70T79
AUS,2012,PRDMPCDD,F,80Y_OVER,NUM,20368,Y_GE80
AUS,2013,PRDMPCDD,M,0-9Y,NUM,23,Y0T9
AUS,2013,PRDMPCDD,M,10-19Y,NUM,51,Y10T19
AUS,2013,PRDMPCDD,M,20-29Y,NUM,339,Y20T29
AUS,2013,PRDMPCDD,M,30-39Y,NUM,2729,Y30T39
AUS,2013,PRDMPCDD,M,40-49Y,NUM,13839,Y40T49
AUS,2013,PRDMPCDD,M,50-59Y,NUM,40273,Y50T59
AUS,2013,PRDMPCDD,M,60-69Y,NUM,71843,Y60T69
AUS,2013,PRDMPCDD,M,70-79Y,NUM,54552,Y70T79
AUS,2013,PRDMPCDD,M,80Y_OVER,NUM,20624,Y_GE80
AUS,2013,PRDMPCDD,F,0-9Y,NUM,12,Y0T9
AUS,2013,PRDMPCDD,F,10-19Y,NUM,25,Y10T19
