REF-AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE,AGE
AUS,2017,MPCBRESP,T,Y_GE65,CRUDE_RATE_CPAT,90.6,YY_TE6
AUS,2017,MPCBRESP,T,Total_16,CRUDE_RATE_CPAT,87.3,YToTal
AUS,2018,MPCBRESP,M,Y16T24,CRUDE_RATE_CPAT,90.6,YY1TT2
AUS,2018,MPCBRESP,M,Y25T44,CRUDE_RATE_CPAT,79.4,YY2TT4
AUS,2018,MPCBRESP,M,Y45T64,CRUDE_RATE_CPAT,85.4,YY4TT6
AUS,2018,MPCBRESP,M,Y_GE65,CRUDE_RATE_CPAT,86.1,YY_TE6
AUS,2018,MPCBRESP,M,Total_16,CRUDE_RATE_CPAT,83.7,YToTal
AUS,2018,MPCBRESP,F,Y16T24,CRUDE_RATE_CPAT,92.5,YY1TT2
AUS,2018,MPCBRESP,F,Y25T44,CRUDE_RATE_CPAT,89.8,YY2TT4
AUS,2018,MPCBRESP,F,Y45T64,CRUDE_RATE_CPAT,90.1,YY4TT6
AUS,2018,MPCBRESP,F,Y_GE65,CRUDE_RATE_CPAT,89.9,YY_TE6
AUS,2018,MPCBRESP,F,Total_16,CRUDE_RATE_CPAT,90.4,YToTal
AUS,2018,MPCBRESP,T,Y16T24,CRUDE_RATE_CPAT,91.6,YY1TT2
AUS,2018,MPCBRESP,T,Y25T44,CRUDE_RATE_CPAT,83.9,YY2TT4
AUS,2018,MPCBRESP,T,Y45T64,CRUDE_RATE_CPAT,87.6,YY4TT6
AUS,2018,MPCBRESP,T,Y_GE65,CRUDE_RATE_CPAT,88.2,YY_TE6
AUS,2018,MPCBRESP,T,Total_16,CRUDE_RATE_CPAT,86.1,YToTal
AUS,2019,MPCBRESP,M,Y16T24,CRUDE_RATE_CPAT,90.3,YY1TT2
AUS,2019,MPCBRESP,M,Y25T44,CRUDE_RATE_CPAT,76,YY2TT4
AUS,2019,MPCBRESP,M,Y45T64,CRUDE_RATE_CPAT,80.4,YY4TT6
AUS,2019,MPCBRESP,M,Y_GE65,CRUDE_RATE_CPAT,90.4,YY_TE6
AUS,2019,MPCBRESP,M,Total_16,CRUDE_RATE_CPAT,81.1,YToTal
AUS,2019,MPCBRESP,F,Y16T24,CRUDE_RATE_CPAT,93.4,YY1TT2
AUS,2019,MPCBRESP,F,Y25T44,CRUDE_RATE_CPAT,89.1,YY2TT4
AUS,2019,MPCBRESP,F,Y45T64,CRUDE_RATE_CPAT,88.9,YY4TT6
AUS,2019,MPCBRESP,F,Y_GE65,CRUDE_RATE_CPAT,93,YY_TE6
AUS,2019,MPCBRESP,F,Total_16,CRUDE_RATE_CPAT,90.5,YToTal
AUS,2019,MPCBRESP,T,Y16T24,CRUDE_RATE_CPAT,92.1,YY1TT2
AUS,2019,MPCBRESP,T,Y25T44,CRUDE_RATE_CPAT,81.6,YY2TT4
AUS,2019,MPCBRESP,T,Y45T64,CRUDE_RATE_CPAT,84.6,YY4TT6
AUS,2019,MPCBRESP,T,Y_GE65,CRUDE_RATE_CPAT,91.7,YY_TE6
AUS,2019,MPCBRESP,T,Total_16,CRUDE_RATE_CPAT,85.2,YToTal
AUS,2020,MPCBRESP,M,Y16T24,CRUDE_RATE_CPAT,90.8,YY1TT2
AUS,2020,MPCBRESP,M,Y25T44,CRUDE_RATE_CPAT,79.1,YY2TT4
AUS,2020,MPCBRESP,M,Y45T64,CRUDE_RATE_CPAT,85.8,YY4TT6
AUS,2020,MPCBRESP,M,Y_GE65,CRUDE_RATE_CPAT,93.8,YY_TE6
AUS,2020,MPCBRESP,M,Total_16,CRUDE_RATE_CPAT,85.3,YToTal
AUS,2020,MPCBRESP,F,Y16T24,CRUDE_RATE_CPAT,93.4,YY1TT2
AUS,2020,MPCBRESP,F,Y25T44,CRUDE_RATE_CPAT,89.1,YY2TT4
AUS,2020,MPCBRESP,F,Y45T64,CRUDE_RATE_CPAT,88.2,YY4TT6
AUS,2020,MPCBRESP,F,Y_GE65,CRUDE_RATE_CPAT,94.4,YY_TE6
AUS,2020,MPCBRESP,F,Total_16,CRUDE_RATE_CPAT,91,YToTal
AUS,2020,MPCBRESP,T,Y16T24,CRUDE_RATE_CPAT,92.1,YY1TT2
AUS,2020,MPCBRESP,T,Y25T44,CRUDE_RATE_CPAT,83.5,YY2TT4
AUS,2020,MPCBRESP,T,Y45T64,CRUDE_RATE_CPAT,86.7,YY4TT6
AUS,2020,MPCBRESP,T,Y_GE65,CRUDE_RATE_CPAT,93.9,YY_TE6
AUS,2020,MPCBRESP,T,Total_16,CRUDE_RATE_CPAT,87.5,YToTal
AUS,2021,MPCBRESP,M,Y16T24,CRUDE_RATE_CPAT,89.7,YY1TT2
AUS,2021,MPCBRESP,M,Y25T44,CRUDE_RATE_CPAT,85.6,YY2TT4
AUS,2021,MPCBRESP,M,Y45T64,CRUDE_RATE_CPAT,86.8,YY4TT6
AUS,2021,MPCBRESP,M,Y_GE65,CRUDE_RATE_CPAT,92.5,YY_TE6
AUS,2021,MPCBRESP,M,Total_16,CRUDE_RATE_CPAT,87.5,YToTal
AUS,2021,MPCBRESP,F,Y16T24,CRUDE_RATE_CPAT,91,YY1TT2
AUS,2021,MPCBRESP,F,Y25T44,CRUDE_RATE_CPAT,89.4,YY2TT4
AUS,2021,MPCBRESP,F,Y45T64,CRUDE_RATE_CPAT,87.8,YY4TT6
AUS,2021,MPCBRESP,F,Y_GE65,CRUDE_RATE_CPAT,92.9,YY_TE6
AUS,2021,MPCBRESP,F,Total_16,CRUDE_RATE_CPAT,89.8,YToTal
AUS,2021,MPCBRESP,T,Y16T24,CRUDE_RATE_CPAT,90.4,YY1TT2
AUS,2021,MPCBRESP,T,Y25T44,CRUDE_RATE_CPAT,87.3,YY2TT4
AUS,2021,MPCBRESP,T,Y45T64,CRUDE_RATE_CPAT,87.2,YY4TT6
AUS,2021,MPCBRESP,T,Y_GE65,CRUDE_RATE_CPAT,92.5,YY_TE6
AUS,2021,MPCBRESP,T,Total_16,CRUDE_RATE_CPAT,87.5,YToTal
AUS,2017,MPIPEXPL,M,Y16T24,CRUDE_RATE_CPAT,54.5,YY1TT2
AUS,2017,MPIPEXPL,M,Y25T44,CRUDE_RATE_CPAT,55.9,YY2TT4
AUS,2017,MPIPEXPL,M,Y45T64,CRUDE_RATE_CPAT,56,YY4TT6
AUS,2017,MPIPEXPL,M,Y_GE65,CRUDE_RATE_CPAT,54.3,YY_TE6
AUS,2017,MPIPEXPL,M,Total_16,CRUDE_RATE_CPAT,55.4,YToTal
AUS,2017,MPIPEXPL,F,Y16T24,CRUDE_RATE_CPAT,53.2,YY1TT2
AUS,2017,MPIPEXPL,F,Y25T44,CRUDE_RATE_CPAT,51,YY2TT4
AUS,2017,MPIPEXPL,F,Y45T64,CRUDE_RATE_CPAT,52.9,YY4TT6
AUS,2017,MPIPEXPL,F,Y_GE65,CRUDE_RATE_CPAT,54.7,YY_TE6
AUS,2017,MPIPEXPL,F,Total_16,CRUDE_RATE_CPAT,52.2,YToTal
AUS,2017,MPIPEXPL,T,Y16T24,CRUDE_RATE_CPAT,53.4,YY1TT2
AUS,2017,MPIPEXPL,T,Y25T44,CRUDE_RATE_CPAT,53.6,YY2TT4
AUS,2017,MPIPEXPL,T,Y45T64,CRUDE_RATE_CPAT,54.6,YY4TT6
AUS,2017,MPIPEXPL,T,Y_GE65,CRUDE_RATE_CPAT,54.1,YY_TE6
AUS,2017,MPIPEXPL,T,Total_16,CRUDE_RATE_CPAT,51.9,YToTal
