REF_AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE
CAN,2018,ICISCDSR,T,Y_GE85,CRUDE_RATE_MPOP,4.245810056
CAN,2019,ICISCDSR,M,Y45T54,CRUDE_RATE_MPOP,3.804347826
CAN,2019,ICISCDSR,M,Y55T64,CRUDE_RATE_MPOP,4.932735426
CAN,2019,ICISCDSR,M,Y65T74,CRUDE_RATE_MPOP,4.920634921
CAN,2019,ICISCDSR,M,Y75T84,CRUDE_RATE_MPOP,5.528455285
CAN,2019,ICISCDSR,M,Y_GE85,CRUDE_RATE_MPOP,4.081632653
CAN,2019,ICISCDSR,F,Y45T54,CRUDE_RATE_MPOP,4.385964912
CAN,2019,ICISCDSR,F,Y55T64,CRUDE_RATE_MPOP,5.857740586
CAN,2019,ICISCDSR,F,Y65T74,CRUDE_RATE_MPOP,5.188679245
CAN,2019,ICISCDSR,F,Y75T84,CRUDE_RATE_MPOP,4.946996466
CAN,2019,ICISCDSR,F,Y_GE85,CRUDE_RATE_MPOP,4.317789292
CAN,2019,ICISCDSR,T,Y45T54,CRUDE_RATE_MPOP,4.026845638
CAN,2019,ICISCDSR,T,Y55T64,CRUDE_RATE_MPOP,5.255474453
CAN,2019,ICISCDSR,T,Y65T74,CRUDE_RATE_MPOP,5.028462998
CAN,2019,ICISCDSR,T,Y75T84,CRUDE_RATE_MPOP,5.249788315
CAN,2019,ICISCDSR,T,Y_GE85,CRUDE_RATE_MPOP,4.229934924
CAN,2017,ICISCDSR,M,Y45T54,STAND_SE,0.647960743
CAN,2017,ICISCDSR,M,Y55T64,STAND_SE,0.496478257
CAN,2017,ICISCDSR,M,Y65T74,STAND_SE,0.392755285
CAN,2017,ICISCDSR,M,Y75T84,STAND_SE,0.429921405
CAN,2017,ICISCDSR,M,Y_GE85,STAND_SE,0.520494845
CAN,2017,ICISCDSR,F,Y45T54,STAND_SE,0.965280551
CAN,2017,ICISCDSR,F,Y55T64,STAND_SE,0.651363032
CAN,2017,ICISCDSR,F,Y65T74,STAND_SE,0.496304318
CAN,2017,ICISCDSR,F,Y75T84,STAND_SE,0.384251925
CAN,2017,ICISCDSR,F,Y_GE85,STAND_SE,0.378134188
CAN,2017,ICISCDSR,T,Y45T54,STAND_SE,0.541297437
CAN,2017,ICISCDSR,T,Y55T64,STAND_SE,0.395278965
CAN,2017,ICISCDSR,T,Y65T74,STAND_SE,0.308286891
CAN,2017,ICISCDSR,T,Y75T84,STAND_SE,0.288234198
CAN,2017,ICISCDSR,T,Y_GE85,STAND_SE,0.30617839
CAN,2018,ICISCDSR,M,Y45T54,STAND_SE,0.668788862
CAN,2018,ICISCDSR,M,Y55T64,STAND_SE,0.456378658
CAN,2018,ICISCDSR,M,Y65T74,STAND_SE,0.393293625
CAN,2018,ICISCDSR,M,Y75T84,STAND_SE,0.421917871
CAN,2018,ICISCDSR,M,Y_GE85,STAND_SE,0.499497806
CAN,2018,ICISCDSR,F,Y45T54,STAND_SE,0.778212701
CAN,2018,ICISCDSR,F,Y55T64,STAND_SE,0.557546606
CAN,2018,ICISCDSR,F,Y65T74,STAND_SE,0.472171578
CAN,2018,ICISCDSR,F,Y75T84,STAND_SE,0.399350205
CAN,2018,ICISCDSR,F,Y_GE85,STAND_SE,0.377685518
CAN,2018,ICISCDSR,T,Y45T54,STAND_SE,0.513826075
CAN,2018,ICISCDSR,T,Y55T64,STAND_SE,0.356024411
CAN,2018,ICISCDSR,T,Y65T74,STAND_SE,0.302333039
